precs,recalls
0.065877128,0.996804276
0.065974548,0.996804276
0.066063045,0.996804276
0.066154609,0.996804276
0.066252588,0.996804276
0.066335404,0.996804276
0.066413006,0.996804276
0.066497605,0.996804276
0.066574202,0.996804276
0.066685504,0.996580161
0.066761871,0.996580161
0.066850275,0.996580161
0.066931367,0.996580161
0.067017544,0.996580161
0.067102287,0.996353712
0.067198178,0.996353712
0.067296786,0.996353712
0.067395907,0.996353712
0.067491166,0.996353712
0.067586695,0.996353712
0.067682495,0.996353712
0.067783701,0.996353712
0.067884218,0.996353712
0.067977916,0.996353712
0.068077511,0.996353712
0.068181818,0.996353712
0.068284229,0.996353712
0.068382635,0.996353712
0.068483327,0.996353712
0.068581688,0.996353712
0.068664533,0.996353712
0.06875,0.996353712
0.068832173,0.996353712
0.068928185,0.996170259
0.069027921,0.996170259
0.069126214,0.996170259
0.069202899,0.996170259
0.069278672,0.996170259
0.069353667,0.996170259
0.069439287,0.995986807
0.069530397,0.995767219
0.06963179,0.995767219
0.069733479,0.995767219
0.069850321,0.995767219
0.069950223,0.995767219
0.07005988,0.995767219
0.070164918,0.995767219
0.07026538,0.995767219
0.070351759,0.995767219
0.070439256,0.995767219
0.070528967,0.995583767
0.070619335,0.995583767
0.070710149,0.995583767
0.070799149,0.995583767
0.070897504,0.995400314
0.071003717,0.995400314
0.071114662,0.995400314
0.071210967,0.995400314
0.071295259,0.995400314
0.071384615,0.995400314
0.071482318,0.995239284
0.071562383,0.995239284
0.071642911,0.995239284
0.07172362,0.995015169
0.071814255,0.994795582
0.071923077,0.994795582
0.072033898,0.994795582
0.072142064,0.994795582
0.072248981,0.994795582
0.072356215,0.994795582
0.072463768,0.994795582
0.072574484,0.994795582
0.072682728,0.994795582
0.072795733,0.994795582
0.072904483,0.994795582
0.073016744,0.994795582
0.073130649,0.994795582
0.073237885,0.994795582
0.073341574,0.994795582
0.07346037,0.994795582
0.073553719,0.994795582
0.07362742,0.994795582
0.073704627,0.994795582
0.073779796,0.994634551
0.073861827,0.994408102
0.073956262,0.994408102
0.074063723,0.994188515
0.07418977,0.994188515
0.074301034,0.994188515
0.074408117,0.994188515
0.074500984,0.994188515
0.074597344,0.994188515
0.07469414,0.994027484
0.074808728,0.994027484
0.074915825,0.994027484
0.075042159,0.994027484
0.075153871,0.994027484
0.075273169,0.994027484
0.075385494,0.994027484
0.075496258,0.994027484
0.075615973,0.994027484
0.075731497,0.994027484
0.075841778,0.994027484
0.075969612,0.994027484
0.076080692,0.994027484
0.07619863,0.994027484
0.076322637,0.994027484
0.07643814,0.994027484
0.076542395,0.994027484
0.07661823,0.994027484
0.076699593,0.994027484
0.076770875,0.993866453
0.076862124,0.993866453
0.076989619,0.993422752
0.077111383,0.993422752
0.077230892,0.993422752
0.077354709,0.993422752
0.077467722,0.993422752
0.077593723,0.993422752
0.077718676,0.993422752
